profile name,subscription type,monthly revenue,join date,last payment date,country_x,age,gender,device,plan duration,start time,duration,attributes,title,supplemental video type,device type_x,bookmark,latest bookmark,country_y,esn,device type_y,acct first playback date,acct last playback date,acct first playback date for user generated plays,acct last playback date for user generated plays,profile first playback date,profile last playback date,profile first playback date for user generated plays,profile last playback date for user generated plays,deactivation time,days since last payment,churn,listed_in,primary_genre,genre_Action & Adventure,genre_Children & Family Movies,genre_Comedies,genre_Crime TV Shows,genre_Documentaries,genre_Dramas,genre_Horror Movies,genre_International Movies,genre_International TV Shows,genre_Kids' TV,genre_Thrillers,genre_Unknown
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2022-06-12 14:23:46,00:24:42,,Hotel Transylvania,,Device Type 1,00:24:39,Not latest view,IN (India),,,,,,,,,,,,569,1,"Kids' TV, TV Comedies",Kids' TV,False,False,False,False,False,False,False,False,False,True,False,False
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-15 04:48:06,00:42:54,,The Indian Detective: Season 1: Episode 1,,Device Type 0,00:42:31,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-03 07:44:21,00:06:01,,Friends: Season 10: The One After Joey and Rachel Kiss (Episode 1),,Device Type 0,00:06:01,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2022-07-03 16:56:24,00:10:36,,Brooklyn Nine-Nine: Season 2: The Road Trip (Episode 9),,Device Type 1,00:10:52,Not latest view,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-06-02 03:58:11,00:21:46,Autoplayed: user action: User_Interaction; ,InuYasha: Season 1: Phantom Showdown: The Thunder Brothers vs. Tetsusaiga (Episode 10),,Device Type 5,00:21:47,00:21:47,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-07-01 07:59:48,00:14:50,,Faster,,Device Type 0,01:28:14,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1,Basic,10,15-01-22,2023-10-06,United States,28,Male,Smartphone,1.0,2021-12-20 17:10:03,00:04:54,,Njan Prakashan,,Device Type 1,00:15:25,Not latest view,IN (India),,,,,,,,,,,,465,1,"Comedies, Dramas, International Movies",Comedies,False,False,True,False,False,False,False,False,False,False,False,False
104,Premium,10,08-06-22,2023-06-25,Australia,38,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-03-19 00:32:33,00:01:44,,How to Get Away With Murder: Season 3: Is Someone Really Dead? (Episode 6),,Device Type 0,00:04:21,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-05-15 03:46:10,00:01:23,Autoplayed: user action: None; ,Love Today_hook_04_16x9,HOOK,Device Type 5,00:01:23,00:01:23,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-03-15 10:43:33,00:44:33,,Suits: Season 8: Coral Gables (Episode 8),,Device Type 0,00:45:09,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-05-15 03:35:51,00:00:31,Autoplayed: user action: None; ,Untitled Arulnithi_hook_01_16x9,HOOK,Device Type 5,00:00:31,Not latest view,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2023-01-23 10:18:30,00:00:10,,The Notebook_hook_primary_16x9,HOOK,Device Type 1,00:00:09,00:00:09,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-15 11:55:50,00:00:47,,The Net_hook_02_16x9,HOOK,Device Type 0,00:00:47,00:00:47,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-09-13 08:00:07,00:00:13,,Naruto Shippuden: Season 6: Infiltrate! The Village Hidden in the Rain (Episode 129),,Device Type 5,00:23:06,00:23:06,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-01-11 18:55:33,00:21:44,,Friends: Season 2: The One Where Dr. Ramoray Dies (Episode 18),,Device Type 0,00:22:35,00:22:35,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
6,Premium,15,18-03-22,2023-06-27,France,29,Female,Smart TV,1.0,2022-06-19 19:32:34,00:00:07,,Friends: Season 4 - Clip 1,PROMOTIONAL,Device Type 1,00:00:07,00:00:07,IN (India),,,,,,,,,,,,566,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-03-13 19:15:12,00:27:30,,Suits: Season 7: Brooklyn Housing (Episode 5),,Device Type 0,00:38:26,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-06-13 12:18:39,00:13:29,,Arrow: Season 3: Guilty (Episode 6),,Device Type 0,00:41:00,00:41:00,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
930,Basic,10,18-08-22,2023-01-07,Germany,47,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,737,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-08 13:36:28,00:12:39,,Brooklyn Nine-Nine: Season 2: The Chopper (Episode 22),,Device Type 0,00:21:32,00:21:32,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
2302,Basic,11,05-10-22,2023-10-07,Spain,30,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,464,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-05-27 07:48:43,00:00:05,Autoplayed: user action: None; ,Central Intelligence_hook_primary_16x9,HOOK,Device Type 5,00:00:05,00:00:05,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2022-12-11 13:06:32,00:52:18,,Indian Predator: Murder in a Courtroom: Limited Series: Episode 1,,Device Type 0,00:53:31,00:53:31,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-08-06 05:04:00,00:11:02,,Manifest: Season 3: Compass Calibration (Episode 10),,Device Type 0,00:42:25,00:42:25,CR (Costa Rica),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2023-05-14 19:01:06,00:00:26,,Clip: There’s Someone Inside Your House,HOOK,Device Type 1,00:00:26,00:00:26,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
2153,Standard,13,27-08-22,2023-09-07,United States,45,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,494,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-05-24 19:57:16,00:00:14,,Stranger Things: Season 3 - Clip 1,PROMOTIONAL,Device Type 0,00:00:12,00:00:12,CR (Costa Rica),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2023-06-20 10:14:25,00:00:04,,Season 1 Trailer 2: The Haunting of Hill House,TRAILER,Device Type 1,00:00:04,00:00:04,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2023-04-29 09:59:05,00:22:32,,Agneepath (2012),,Device Type 1,00:22:50,Not latest view,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1,Basic,10,15-01-22,2023-10-06,United States,28,Male,Smartphone,1.0,2021-12-27 14:20:10,00:54:23,Autoplayed: user action: User_Interaction; ,Kaaval,,Device Type 6,01:00:57,Not latest view,IN (India),,,,,,,,,,,,465,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-07-11 14:54:51,00:19:50,Autoplayed: user action: User_Interaction; ,Yu Yu Hakusho: Ghost Files: Season 2: Episode 48,,Device Type 5,00:21:48,00:21:48,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2022-09-01 19:44:33,00:03:19,,The Grudge,,Device Type 0,00:04:07,Not latest view,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2023-04-06 18:41:33,00:36:21,,Breaking Bad: Season 2: Phoenix (Episode 12),,Device Type 1,00:46:39,00:46:39,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2023-02-15 17:53:14,00:23:51,,Wednesday: Season 1: Wednesday's Child Is Full of Woe (Episode 1),,Device Type 1,00:24:30,Not latest view,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-05-06 11:15:18,00:22:44,,The Blacklist: Season 6: Dr. Hans Koehler (No. 33) (Episode 1),,Device Type 0,00:22:49,Not latest view,CA (Canada),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2023-03-14 10:00:01,00:48:07,,Rekha,,Device Type 0,01:59:09,Not latest view,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-05-29 10:35:11,00:29:14,,The Originals: Season 1: The River in Reverse (Episode 8),,Device Type 0,00:40:41,00:40:41,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-15 16:27:19,00:34:52,,Kim's Convenience: Season 1: Best Before (Episode 9),,Device Type 0,00:21:41,00:21:41,CA (Canada),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-16 16:04:24,00:00:07,,Kim's Convenience: Season 4: The Help (Episode 3),,Device Type 0,00:16:00,Not latest view,CA (Canada),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2021-12-04 15:01:08,00:49:45,,Money Heist: Part 5: Wishful Thinking (Episode 7),,Device Type 7,00:50:41,Not latest view,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-06-02 14:59:43,00:20:41,Autoplayed: user action: User_Interaction; ,InuYasha: Season 1: The Mystery of the New Moon and the Black-Haired Inuyasha (Episode 13),,Device Type 5,00:21:53,00:21:53,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-24 03:05:54,00:00:02,,Suits: Season 3: The Other Time (Episode 6),,Device Type 0,00:00:02,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
6,Premium,15,18-03-22,2023-06-27,France,29,Female,Smart TV,1.0,2023-01-01 05:09:37,00:00:07,Autoplayed: user action: None; ,Untitled Sun 1 (VS) (to be renamed)_hook_primary_16x9,HOOK,Device Type 7,00:00:08,Not latest view,IN (India),,,,,,,,,,,,566,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-03-15 08:47:41,00:29:24,,"Suits: Season 8: Cats, Ballet, Harvey Specter (Episode 6)",,Device Type 0,00:42:34,00:42:34,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
2013,Standard,10,27-08-22,2023-08-07,Mexico,40,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,525,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-05-14 04:36:17,00:45:45,,The Lincoln Lawyer: Season 1: He Rides Again (Episode 1),,Device Type 0,00:45:44,00:45:44,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2021-12-15 14:53:28,00:21:23,,Titans: Season 2: Conner (Episode 6),,Device Type 5,00:22:19,Not latest view,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-03-19 08:14:41,00:00:04,Autoplayed: user action: None; ,Godzilla vs. Kong_hook_primary_16x9,HOOK,Device Type 5,00:00:04,00:00:04,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2021-11-06 07:58:07,00:12:38,Autoplayed: user action: User_Interaction; ,The Walking Dead: Season 2: Better Angels (Episode 12),,Device Type 5,00:13:08,Not latest view,IN (India),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-07 09:53:12,00:22:33,,Brooklyn Nine-Nine: Season 3: House Mouses (Episode 16),,Device Type 0,00:21:39,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-19 19:08:17,00:29:48,,The Good Doctor: Season 3: Debts (Episode 2),,Device Type 0,00:34:55,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1947,Basic,12,12-09-22,2023-08-07,Canada,39,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,525,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-03-27 10:26:36,00:07:25,,iZombie: Season 3: Conspiracy Weary (Episode 11),,Device Type 0,00:07:31,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-06-13 16:28:56,00:14:47,,Arrow: Season 3: Left Behind (Episode 10),,Device Type 0,00:17:10,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2022-11-26 04:29:06,00:00:09,,World's Most Wanted: Season 1: Samantha Lewthwaite: The White Widow (Episodic Hook),HOOK,Device Type 1,00:00:00,00:00:00,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-01-30 08:32:05,00:13:32,Autoplayed: user action: User_Interaction; ,Jujutsu Kaisen: Season 1: Episode 19,,Device Type 5,00:14:58,Not latest view,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-23 03:18:30,00:41:40,,Suits: Season 2: Normandy (Episode 15),,Device Type 0,00:42:44,00:42:44,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
957,Basic,14,27-06-22,2023-01-07,Canada,50,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,737,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-06-13 15:18:40,00:00:04,Autoplayed: user action: None; ,Shabaash Mithu_hook_02_16x9,HOOK,Device Type 5,00:00:04,00:00:04,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1301,Premium,14,23-06-22,2023-04-07,United States,51,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,647,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-04-04 22:25:53,00:15:35,,Space Force: Season 1: MARK AND MALLORY GO TO WASHINGTON (Episode 3),,Device Type 0,00:15:50,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
841,Premium,13,06-10-22,2023-06-29,France,42,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,564,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-20 08:32:44,00:04:13,,The Good Doctor: Season 3: Friends and Family (Episode 10),,Device Type 0,00:42:38,00:42:38,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-04-25 08:14:57,00:00:34,Autoplayed: user action: User_Interaction; ,Black Clover: Season 1: The Boys' Promise (Episode 2),,Device Type 5,00:07:40,Not latest view,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-04-15 05:16:45,00:03:19,Autoplayed: user action: User_Interaction; ,Naruto Shippuden: Season 20: You Better... (Episode 472),,Device Type 5,00:10:46,Not latest view,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
474,Standard,14,30-07-22,2023-06-28,Australia,38,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
1255,Basic,10,02-10-22,2023-04-07,United States,50,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,647,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2023-01-02 18:31:46,00:00:51,,Wednesday: Season 1: Woe What a Night (Episode 4),,Device Type 0,00:21:18,Not latest view,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-25 02:31:41,00:24:09,,Suits: Season 3: Moot Point (Episode 13),,Device Type 0,00:42:42,00:42:42,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
277,Basic,13,12-09-22,2023-06-26,Brazil,37,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
7,Standard,12,09-12-21,2023-06-25,Brazil,46,Male,Tablet,1.0,2023-01-28 07:48:44,00:04:24,,The Good Doctor: Season 2: Hello (Episode 1),,Device Type 0,00:43:01,00:43:01,IN (India),,,,,,,,,,,,568,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
4,Standard,12,10-07-22,2023-06-26,Australia,51,Female,Laptop,1.0,2022-02-22 14:59:50,00:02:25,,Suits: Season 2: Sucker Punch (Episode 7),,Device Type 0,00:02:26,Not latest view,AE (United Arab Emirates),,,,,,,,,,,,567,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
8,Basic,10,02-04-23,2023-06-24,Mexico,39,Female,Laptop,1.0,2023-05-29 18:52:24,00:02:52,,Friends: Season 1: The One with Mrs. Bing (Episode 11),,Device Type 1,00:03:20,Not latest view,IN (India),,,,,,,,,,,,569,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
5,Basic,10,01-05-23,2023-06-28,Germany,33,Male,Smartphone,1.0,2023-04-02 04:18:15,00:00:05,,Naruto Shippuden: Season 15: Izanagi and Izanami (Episode 338),,Device Type 1,00:00:05,Not latest view,IN (India),,,,,,,,,,,,565,1,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,True
