profile name,esn,device type,acct first playback date,acct last playback date,acct first playback date for user generated plays,acct last playback date for user generated plays,profile first playback date,profile last playback date,profile first playback date for user generated plays,profile last playback date for user generated plays,deactivation time,acct_first_playback_date,acct_last_playback_date,playback_duration_days
User 1,Esn 10,Device Type 1,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,2021-12-08T14:39:26.777Z,2022-01-16T18:47:14.064Z,,2021-12-08 14:39:26.777000+00:00,2022-01-16 18:47:14.064000+00:00,39.0
User 1,Esn 31,Device Type 1,2021-12-20T07:25:51.497Z,2022-09-12T04:59:59.916Z,2021-12-20T07:25:51.497Z,2022-09-12T04:59:59.916Z,2021-12-20T07:25:51.497Z,2021-12-20T07:25:51.497Z,2021-12-20T07:25:51.497Z,2021-12-20T07:25:51.497Z,,2021-12-20 07:25:51.497000+00:00,2022-09-12 04:59:59.916000+00:00,265.0
User 3,Esn 34,Device Type 0,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,2021-11-25T16:37:44.923Z,2021-12-11T16:48:37.471Z,,2021-11-25 16:37:44.923000+00:00,2021-12-11 16:48:37.471000+00:00,16.0
User 0,Esn 15,Device Type 7,2021-10-30T03:03:59.713Z,2022-01-01T10:01:39.324Z,2021-10-30T03:03:59.713Z,2022-01-01T08:57:31.894Z,2021-10-30T03:03:59.713Z,2021-12-05T05:12:31.132Z,2021-10-30T03:03:59.713Z,2021-12-05T05:12:31.132Z,,2021-10-30 03:03:59.713000+00:00,2022-01-01 10:01:39.324000+00:00,63.0
User 4,Esn 15,Device Type 7,2021-10-30T03:03:59.713Z,2022-01-01T10:01:39.324Z,2021-10-30T03:03:59.713Z,2022-01-01T08:57:31.894Z,2021-12-04T14:03:35.694Z,2021-12-04T17:35:01.183Z,2021-12-04T14:04:15.604Z,2021-12-04T17:30:25.364Z,,2021-10-30 03:03:59.713000+00:00,2022-01-01 10:01:39.324000+00:00,63.0
User 4,Esn 3,Device Type 3,,,,,,,,,2022-11-26T08:51:46.000Z,,,
User 2,Esn 3,Device Type 3,,,,,,,,,2022-11-26T08:51:46.000Z,,,
User 3,Esn 3,Device Type 3,,,,,,,,,2022-11-26T08:51:46.000Z,,,
User 0,Esn 3,Device Type 3,,,,,,,,,2022-11-26T08:51:46.000Z,,,
User 1,Esn 3,Device Type 3,,,,,,,,,2022-11-26T08:51:46.000Z,,,
User 4,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2022-06-05T14:01:26.000Z,2021-12-25 07:00:49.496000+00:00,2022-06-05 13:59:56.865000+00:00,162.0
User 2,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-26T13:27:05.584Z,2022-06-05T13:59:34.491Z,2021-12-26T13:27:05.584Z,2022-06-05T13:59:34.491Z,2022-06-05T14:01:26.000Z,2021-12-25 07:00:49.496000+00:00,2022-06-05 13:59:56.865000+00:00,162.0
User 4,Esn 46,Device Type 8,,,,,,,,,2022-04-18T20:02:22.000Z,,,
User 3,Esn 8,Device Type 0,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,2021-12-25T07:00:49.496Z,2022-06-05T13:59:56.865Z,,,,,2022-06-05T14:01:26.000Z,2021-12-25 07:00:49.496000+00:00,2022-06-05 13:59:56.865000+00:00,162.0
User 8,Esn 32,Device Type 1,2022-10-06T18:28:05.467Z,2023-06-20T16:09:44.948Z,2022-10-06T18:28:05.467Z,2023-06-20T16:09:44.948Z,2022-10-06T18:28:05.467Z,2023-06-20T16:09:44.948Z,2022-10-06T18:28:05.467Z,2023-06-20T16:09:44.948Z,1970-01-01T00:00:00.000Z,2022-10-06 18:28:05.467000+00:00,2023-06-20 16:09:44.948000+00:00,256.0
User 8,Esn 0,Device Type 5,2023-01-07T15:13:19.472Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:36.798Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:19.472Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:36.798Z,2023-06-20T15:09:20.203Z,1970-01-01T00:00:00.000Z,2023-01-07 15:13:19.472000+00:00,2023-06-20 15:09:20.203000+00:00,163.0
User 8,Esn 55,Device Type 8,,,,,,,,,1970-01-01T00:00:00.000Z,,,
User 8,Esn 33,Device Type 1,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,1970-01-01T00:00:00.000Z,2023-06-17 15:50:40.571000+00:00,2023-06-20 10:14:31.088000+00:00,2.0
User 8,Esn 30,Device Type 9,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,1970-01-01T00:00:00.000Z,2023-06-20 07:03:42.726000+00:00,2023-06-20 07:03:42.726000+00:00,0.0
User 8,Esn 13,Device Type 1,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,2022-11-13T16:58:03.860Z,2023-06-20T05:53:24.070Z,1970-01-01T00:00:00.000Z,2022-11-13 16:58:03.860000+00:00,2023-06-20 05:53:24.070000+00:00,218.0
User 8,Esn 35,Device Type 4,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,1970-01-01T00:00:00.000Z,2023-01-13 17:07:42.020000+00:00,2023-06-19 16:07:09.320000+00:00,156.0
User 8,Esn 36,Device Type 0,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,1970-01-01T00:00:00.000Z,2022-11-30 12:09:38.972000+00:00,2023-06-19 08:04:43.660000+00:00,200.0
User 8,Esn 37,Device Type 1,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,2023-03-17T15:54:24.070Z,2023-06-19T04:46:05.172Z,1970-01-01T00:00:00.000Z,2023-03-17 15:54:24.070000+00:00,2023-06-19 04:46:05.172000+00:00,93.0
User 8,Esn 11,Device Type 0,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,2022-12-04T10:01:02.444Z,2023-06-18T16:11:39.680Z,1970-01-01T00:00:00.000Z,2022-12-04 10:01:02.444000+00:00,2023-06-18 16:11:39.680000+00:00,196.0
User 8,Esn 29,Device Type 1,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,2023-01-07T18:41:03.383Z,2023-06-18T14:59:05.596Z,1970-01-01T00:00:00.000Z,2023-01-07 18:41:03.383000+00:00,2023-06-18 14:59:05.596000+00:00,161.0
User 8,Esn 28,Device Type 1,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,2023-02-08T18:01:39.416Z,2023-06-17T19:18:26.203Z,1970-01-01T00:00:00.000Z,2023-02-08 18:01:39.416000+00:00,2023-06-17 19:18:26.203000+00:00,129.0
User 8,Esn 50,Device Type 10,,,,,,,,,1970-01-01T00:00:00.000Z,,,
User 8,Esn 56,Device Type 10,,,,,,,,,1970-01-01T00:00:00.000Z,,,
User 8,Esn 18,Device Type 1,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,2023-01-15T14:48:01.001Z,2023-06-15T08:37:56.228Z,1970-01-01T00:00:00.000Z,2023-01-15 14:48:01.001000+00:00,2023-06-15 08:37:56.228000+00:00,150.0
User 8,Esn 19,Device Type 6,2023-05-20T17:17:32.947Z,2023-05-20T17:47:09.536Z,2023-05-20T17:20:35.310Z,2023-05-20T17:47:09.536Z,2023-05-20T17:17:32.947Z,2023-05-20T17:47:09.536Z,2023-05-20T17:20:35.310Z,2023-05-20T17:47:09.536Z,1970-01-01T00:00:00.000Z,2023-05-20 17:17:32.947000+00:00,2023-05-20 17:47:09.536000+00:00,0.0
User 8,Esn 9,Device Type 1,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,2022-11-30T15:05:23.020Z,2023-05-02T11:30:32.724Z,1970-01-01T00:00:00.000Z,2022-11-30 15:05:23.020000+00:00,2023-05-02 11:30:32.724000+00:00,152.0
User 8,Esn 17,Device Type 11,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,2022-11-21T08:59:17.940Z,2023-04-28T09:47:49.145Z,1970-01-01T00:00:00.000Z,2022-11-21 08:59:17.940000+00:00,2023-04-28 09:47:49.145000+00:00,158.0
User 8,Esn 22,Device Type 2,2023-03-28T17:15:01.118Z,2023-04-19T15:17:50.784Z,2023-04-19T15:12:09.703Z,2023-04-19T15:17:50.784Z,2023-03-28T17:15:01.118Z,2023-04-19T15:17:50.784Z,2023-04-19T15:12:09.703Z,2023-04-19T15:17:50.784Z,1970-01-01T00:00:00.000Z,2023-03-28 17:15:01.118000+00:00,2023-04-19 15:17:50.784000+00:00,21.0
User 8,Esn 16,Device Type 7,2023-01-01T03:43:30.916Z,2023-04-09T10:14:47.688Z,2023-01-01T04:06:14.320Z,2023-04-09T10:14:47.688Z,2023-01-01T03:43:30.916Z,2023-04-09T10:14:47.688Z,2023-01-01T04:06:14.320Z,2023-04-09T10:14:47.688Z,1970-01-01T00:00:00.000Z,2023-01-01 03:43:30.916000+00:00,2023-04-09 10:14:47.688000+00:00,98.0
User 8,Esn 54,Device Type 9,,,,,,,,,1970-01-01T00:00:00.000Z,,,
User 8,Esn 12,Device Type 6,2022-08-09T15:03:25.496Z,2022-11-09T16:15:07.336Z,2022-09-24T16:17:52.956Z,2022-11-09T16:09:35.070Z,2022-08-09T15:03:25.496Z,2022-11-09T16:15:07.336Z,2022-09-24T16:17:52.956Z,2022-11-09T16:09:35.070Z,1970-01-01T00:00:00.000Z,2022-08-09 15:03:25.496000+00:00,2022-11-09 16:15:07.336000+00:00,92.0
User 8,Esn 27,Device Type 0,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,2022-10-05T17:01:39.047Z,2023-03-11T08:04:49.159Z,1970-01-01T00:00:00.000Z,2022-10-05 17:01:39.047000+00:00,2023-03-11 08:04:49.159000+00:00,156.0
User 8,Esn 53,Device Type 0,,,,,,,,,1970-01-01T00:00:00.000Z,,,
User 8,Esn 52,Device Type 0,,,,,,,,,1970-01-01T00:00:00.000Z,,,
