profile name,country iso code,device,is kids,query typed,displayed name,action,section,utc timestamp
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 22:02
User 4,AE,Device 0,0,arr,Deep Impact,select,title_results,6/13/22 22:02
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 22:02
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Suicidal Tendencies""",play,title_results,6/13/22 21:44
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 21:43
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Midnight City""",play,title_results,6/13/22 18:09
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 18:09
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Corto Maltese""",play,title_results,6/13/22 4:40
User 4,AE,Device 0,0,arr,"Arrow: Season 3: ""Sara""",play,title_results,6/13/22 2:24
User 4,AE,Device 0,0,arr,,select,title_results,6/13/22 2:24
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""City of Blood""",play,title_results,6/12/22 19:35
User 4,AE,Device 0,0,arr,,select,title_results,6/12/22 19:35
User 4,AE,Device 0,0,arr,,select,title_results,6/12/22 19:35
User 4,AE,Device 0,0,arr,,select,title_results,6/12/22 19:34
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""Deathstroke""",play,title_results,6/12/22 16:27
User 4,AE,Device 0,0,arr,,select,title_results,6/12/22 16:27
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""Tremors""",play,title_results,6/12/22 6:06
User 4,AE,Device 0,0,arr,,select,title_results,6/12/22 6:06
User 4,AE,Device 0,0,cbi,CBI 5: The Brain,play,title_results,6/12/22 2:18
User 4,AE,Device 0,0,cbi,CBI 5: The Brain,select,title_results,6/12/22 2:18
User 4,AE,Device 0,0,flash,"Arrow: Season 2: ""The Scientist""",play,title_results,6/11/22 19:20
User 4,AE,Device 0,0,flash,,select,title_results,6/11/22 19:20
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""Keep Your Enemies Closer""",play,title_results,6/11/22 17:40
User 4,AE,Device 0,0,arr,,select,title_results,6/11/22 17:40
User 4,AE,Device 0,0,arr,"Arrow: Season 2: ""League of Assassins""",play,title_results,6/11/22 17:30
User 4,AE,Device 0,0,arr,,select,title_results,6/11/22 17:30
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""The Undertaking""",play,title_results,6/11/22 6:40
User 4,AE,Device 0,0,arr,,select,title_results,6/11/22 6:40
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""Unfinished Business""",play,title_results,6/11/22 4:24
User 4,AE,Device 0,0,arr,,select,title_results,6/11/22 4:24
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""Salvation""",play,title_results,6/11/22 3:51
User 4,AE,Device 0,0,arr,,select,title_results,6/11/22 3:51
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""Dead to Rights""",play,title_results,6/10/22 18:32
User 4,AE,Device 0,0,arr,,select,title_results,6/10/22 18:32
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""The Odyssey""",play,title_results,6/10/22 16:46
User 4,AE,Device 0,0,arr,,select,title_results,6/10/22 16:46
User 4,CA,Device 0,0,arr,"Arrow: Season 1: ""The Odyssey""",play,title_results,6/10/22 16:31
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""The Odyssey""",play,title_results,6/10/22 16:18
User 4,AE,Device 0,0,arr,"Arrow: Season 1: ""Betrayal""",play,title_results,6/10/22 15:38
User 4,AE,Device 0,0,arr,,select,title_results,6/10/22 15:38
User 4,AE,Device 0,0,ar,"Arrow: Season 1: ""Legacies""",play,title_results,6/10/22 4:23
User 4,AE,Device 0,0,ar,"Arrow: Season 1: ""Legacies""",play,title_results,6/10/22 3:57
User 4,AE,Device 0,0,ar,,select,title_results,6/10/22 3:57
User 4,AE,Device 0,0,,"Lucifer: Season 6: ""Buckets of Baggage""",play,prequery_results,6/7/22 3:56
User 4,AE,Device 0,0,,,select,prequery_results,6/7/22 3:56
User 4,AE,Device 0,0,,"Lucifer: Season 6: ""Nothing Ever Changes Around Here""",play,prequery_results,6/7/22 3:47
User 4,AE,Device 0,0,,,select,prequery_results,6/7/22 3:47
User 4,AE,Device 0,0,,"Lucifer: Season 5: ""A Chance at a Happy Ending""",play,prequery_results,6/6/22 5:24
User 4,AE,Device 0,0,,,select,prequery_results,6/6/22 5:24
User 4,IN,Device 0,0,stranger things,,select,title_results,6/5/22 13:59
User 4,IN,Device 0,0,stranger things,,select,title_results,6/5/22 13:59
User 4,IN,Device 0,0,stranger things,,select,title_results,6/5/22 13:59
User 4,IN,Device 0,0,stranger things,,select,title_results,6/5/22 13:59
User 4,IN,Device 0,0,stra,Stranger Things 3: The Game (Mobile Game),select,title_results,6/5/22 13:59
User 4,IN,Device 0,0,stra,Stranger Things 3: The Game (Mobile Game),select,title_results,6/5/22 13:59
User 4,AE,Device 0,0,,"Lucifer: Season 5: ""Our Mojo""",play,prequery_results,6/5/22 8:56
User 4,AE,Device 0,0,,,select,prequery_results,6/5/22 8:56
User 4,AE,Device 0,0,,"Lucifer: Season 5: ""Detective Amenadiel""",play,prequery_results,6/5/22 6:38
User 4,AE,Device 0,0,,,select,prequery_results,6/5/22 6:38
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Save Lucifer""",play,prequery_results,6/4/22 8:36
User 4,AE,Device 0,0,,,select,prequery_results,6/4/22 8:36
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Orgy Pants to Work""",play,prequery_results,6/4/22 5:57
User 4,AE,Device 0,0,,,select,prequery_results,6/4/22 5:57
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Orgy Pants to Work""",play,prequery_results,6/4/22 4:52
User 4,AE,Device 0,0,,,select,prequery_results,6/4/22 4:52
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""All About Eve""",play,prequery_results,6/3/22 22:30
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 22:30
User 4,AE,Device 0,0,,Through My Window,select,prequery_results,6/3/22 18:29
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Somebodyâs Been Reading Danteâs Inferno""",play,prequery_results,6/3/22 18:17
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 18:17
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Everything's Okay""",play,prequery_results,6/3/22 17:24
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 17:23
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Everything's Okay""",play,prequery_results,6/3/22 17:15
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 17:15
User 4,AE,Device 0,0,,"Lucifer: Season 4: ""Everything's Okay""",play,prequery_results,6/3/22 16:47
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 16:47
User 4,AE,Device 0,0,,"Lucifer: Season 3: ""Let Pinhead Sing!""",play,prequery_results,6/3/22 13:59
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 13:59
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 13:59
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 13:27
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 13:27
User 4,AE,Device 0,0,,,select,prequery_results,6/3/22 13:26
User 4,FR,Device 0,0,,,select,prequery_results,6/3/22 13:26
User 4,FR,Device 0,0,,A Perfect Pairing,select,prequery_results,6/3/22 13:26
User 4,FR,Device 0,0,,,select,prequery_results,6/3/22 13:26
User 4,AE,Device 0,0,jana ,Jana 2022 (Kannada),select,title_results,6/2/22 8:55
User 4,AE,Device 0,0,jana ,Jana Gana Mana,select,title_results,6/2/22 8:55
User 4,AE,Device 0,0,o,"The Originals: Season 1: ""Reigning Pain in New Orleans""",play,title_results,5/29/22 12:27
User 4,AE,Device 0,0,o,,select,title_results,5/29/22 12:27
User 4,AE,Device 0,0,ori,"The Originals: Season 1: ""The River in Reverse""",play,title_results,5/29/22 10:35
User 4,AE,Device 0,0,ori,,select,title_results,5/29/22 10:35
User 4,AE,Device 0,0,the ori,"The Originals: Season 1: ""Bloodletting""",play,title_results,5/29/22 4:36
User 4,AE,Device 0,0,the ori,,select,title_results,5/29/22 4:36
User 4,AE,Device 0,0,thr o,"The Originals: Season 1: ""Fruit of the Poisoned Tree""",play,title_results,5/29/22 3:17
User 4,AE,Device 0,0,thr o,,select,title_results,5/29/22 3:17
User 4,AE,Device 0,0,or,"The Originals: Season 1: ""Always and Forever""",play,title_results,5/28/22 13:15
User 4,AE,Device 0,0,or,,select,title_results,5/28/22 13:15
User 4,CA,Device 0,0,stra,"Stranger Things 4: ""Chapter Three: The Monster and the Superhero""",play,title_results,5/27/22 20:01
User 4,CA,Device 0,0,stra,"Stranger Things 4: ""Chapter Three: The Monster and the Superhero""",play,title_results,5/27/22 20:01
User 4,CA,Device 0,0,stra,,select,title_results,5/27/22 20:01
User 4,CA,Device 0,0,stra,,select,title_results,5/27/22 20:01
User 4,AE,Device 0,0,,,select,prequery_results,5/26/22 5:06
User 4,AE,Device 0,0,,,select,prequery_results,5/26/22 5:06
User 4,AE,Device 0,0,,,select,prequery_results,5/26/22 5:06
User 4,AE,Device 0,0,nawa,Class of '83,select,title_results,5/25/22 16:43
User 4,AE,Device 0,0,nawa,Haseen Dillruba,select,title_results,5/25/22 16:43
User 4,AE,Device 0,0,,Ala Vaikunthapurramuloo,select,prequery_results,5/25/22 16:43
User 4,AE,Device 0,0,rrr ta,Maha Samudram (Tamil),select,title_results,5/25/22 13:55
User 4,AE,Device 0,0,,The Roommate,select,prequery_results,5/25/22 13:52
User 4,AE,Device 0,0,,The Devil All The Time,select,prequery_results,5/25/22 13:51
User 4,IN,Device 2,0,don,Don't Look Up,play,title_results,5/24/22 8:04
User 4,IN,Device 2,0,don,Don't Look Up,select,title_results,5/24/22 8:04
User 4,AE,Device 0,0,takerz,Street Kings,play,title_results,5/18/22 13:35
User 4,AE,Device 0,0,takerz,Street Kings,select,title_results,5/18/22 13:35
User 4,AE,Device 0,0,takerz,Blue Streak,select,title_results,5/18/22 13:34
User 4,AE,Device 0,0,takerz,Takers,play,title_results,5/18/22 13:25
User 4,AE,Device 0,0,takerz,Takers,select,title_results,5/18/22 13:24
User 4,AE,Device 0,0,,"Suits: Season 8: ""Rocky 8""",play,prequery_results,5/11/22 16:43
User 4,AE,Device 0,0,,,select,prequery_results,5/11/22 16:43
User 4,AE,Device 0,0,,,select,prequery_results,5/11/22 16:42
User 4,IN,Device 3,0,365,365 Days,play,title_results,5/10/22 17:35
User 4,IN,Device 3,0,365,365 Days,add,title_results,5/10/22 17:34
User 4,IN,Device 3,0,365,365 Days,select,title_results,5/10/22 17:34
User 4,IN,Device 3,0,365,Gangubai Kathiawadi,add,title_results,5/10/22 17:34
User 4,IN,Device 3,0,365,Gangubai Kathiawadi,select,title_results,5/10/22 17:34
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""Rassvet""",play,prequery_results,5/8/22 11:49
User 4,AE,Device 0,0,,,select,prequery_results,5/8/22 11:49
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""Rassvet""",play,prequery_results,5/8/22 9:05
User 4,AE,Device 0,0,,,select,prequery_results,5/8/22 9:05
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""Olivia Olson (No. 115)""",play,prequery_results,5/8/22 2:32
User 4,AE,Device 0,0,,,select,prequery_results,5/8/22 2:32
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 9:27
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""Marko Jankowics (No. 58)""",play,prequery_results,5/7/22 8:55
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 8:55
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 8:01
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 8:01
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""General Shiro (No. 116)""",play,prequery_results,5/7/22 7:44
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 7:44
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""The Ethicist (No. 91)""",play,prequery_results,5/7/22 6:42
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 6:42
User 4,FR,Device 0,0,,"The Blacklist: Season 6: ""The Ethicist (No. 91)""",play,prequery_results,5/7/22 5:57
User 4,FR,Device 0,0,,,select,prequery_results,5/7/22 5:57
User 4,AE,Device 0,0,,Dasvi,select,prequery_results,5/7/22 5:57
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 5:57
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""Alter Ego (No. 131)""",play,prequery_results,5/7/22 5:32
User 4,AE,Device 0,0,,,select,prequery_results,5/7/22 5:32
User 4,AE,Device 0,0,,"The Blacklist: Season 6: ""Dr. Hans Koehler (No. 33)""",play,prequery_results,5/6/22 13:02
User 4,AE,Device 0,0,,,select,prequery_results,5/6/22 13:01
User 4,AE,Device 0,0,,"The Blacklist: Season 5: ""The Killgannon Corporation (No. 48)""",play,prequery_results,5/5/22 3:11
User 4,AE,Device 0,0,,,select,prequery_results,5/5/22 3:11
User 4,AE,Device 0,0,,"The Blacklist: Season 5: ""The Killgannon Corporation (No. 48)""",play,prequery_results,5/4/22 19:55
User 4,AE,Device 0,0,,,select,prequery_results,5/4/22 19:55
User 4,AE,Device 0,0,,"The Blacklist: Season 5: ""The Travel Agency (No. 90)""",play,prequery_results,5/4/22 7:26
User 4,AE,Device 0,0,,,select,prequery_results,5/4/22 7:26
User 4,AE,Device 0,0,,"The Blacklist: Season 5: ""Ilyas Surkov (No. 54)""",play,prequery_results,5/4/22 7:13
User 4,AE,Device 0,0,,,select,prequery_results,5/4/22 7:13
User 4,AE,Device 0,0,,"The Blacklist: Season 4: ""Mr. Kaplan (No. 4): Conclusion""",play,prequery_results,5/3/22 17:27
User 4,AE,Device 0,0,,,select,prequery_results,5/3/22 17:27
User 4,AE,Device 0,0,bl,"The Blacklist: Season 4: ""Dr. Bogdan Krilov (No. 29)""",play,title_results,5/3/22 5:16
User 4,AE,Device 0,0,bl,"The Blacklist: Season 4: ""Dr. Bogdan Krilov (No. 29)""",play,title_results,5/3/22 5:13
User 4,AE,Device 0,0,bl,,select,title_results,5/3/22 5:13
User 4,AE,Device 0,0,bl,"The Blacklist: Season 4: ""The Thrushes (No. 53)""",play,title_results,4/29/22 18:54
User 4,AE,Device 0,0,bl,,select,title_results,4/29/22 18:54
User 4,AE,Device 0,0,,"The Blacklist: Season 3: ""Alexander Kirk (No. 14)""",play,prequery_results,4/29/22 7:24
User 4,AE,Device 0,0,,,select,prequery_results,4/29/22 7:24
User 4,AE,Device 0,0,,,select,prequery_results,4/29/22 7:23
User 4,AE,Device 0,0,,,select,prequery_results,4/29/22 7:23
User 4,AE,Device 0,0,,,select,prequery_results,4/29/22 7:23
User 4,AE,Device 0,0,,,select,prequery_results,4/29/22 7:04
User 4,AE,Device 0,0,,"The Blacklist: Season 3: ""Kings Of The Highway (No. 108)""",play,prequery_results,4/27/22 18:33
User 4,AE,Device 0,0,,,select,prequery_results,4/27/22 18:33
User 4,AE,Device 0,0,,"The Blacklist: Season 3: ""Sir Crispin Crandall (No. 86)""",play,prequery_results,4/27/22 16:43
User 4,AE,Device 0,0,,,select,prequery_results,4/27/22 16:43
User 4,AE,Device 0,0,,"The Blacklist: Season 2: ""Tom Connolly (No. 11)""",play,prequery_results,4/27/22 3:15
User 4,AE,Device 0,0,,,select,prequery_results,4/27/22 3:15
User 4,AE,Device 0,0,,"The Blacklist: Season 2: ""Tom Connolly (No. 11)""",play,prequery_results,4/26/22 20:02
User 4,AE,Device 0,0,,,select,prequery_results,4/26/22 20:02
User 4,AE,Device 0,0,,"The Blacklist: Season 2: ""Vanessa Cruz (No. 117)""",play,prequery_results,4/26/22 16:15
User 4,AE,Device 0,0,,,select,prequery_results,4/26/22 16:15
User 4,AE,Device 0,0,,"The Blacklist: Season 2: ""Tom Keen (No. 7)""",play,prequery_results,4/26/22 15:22
User 4,AE,Device 0,0,,,select,prequery_results,4/26/22 15:22
User 4,CA,Device 0,0,,"The Blacklist: Season 2: ""Ruslan Denisov (No. 67)""",play,prequery_results,4/24/22 19:04
User 4,CA,Device 0,0,,,select,prequery_results,4/24/22 19:04
User 4,AE,Device 0,0,,"The Blacklist: Season 2: ""Dr. Linus Creel (No. 82)""",play,prequery_results,4/23/22 20:09
User 4,AE,Device 0,0,,,select,prequery_results,4/23/22 20:09
User 4,FR,Device 0,0,,"The Blacklist: Season 2: ""Dr. James Covington (No. 89)""",play,prequery_results,4/23/22 15:56
User 4,FR,Device 0,0,,,select,prequery_results,4/23/22 15:56
User 4,AE,Device 0,0,,"The Blacklist: Season 2: ""Dr. James Covington (No. 89)""",play,prequery_results,4/23/22 15:32
User 4,AE,Device 0,0,,,select,prequery_results,4/23/22 15:32
User 4,AE,Device 0,0,bl,"The Blacklist: Season 1: ""Wujing (No. 84)""",play,title_results,4/21/22 19:10
User 4,AE,Device 0,0,bl,,select,title_results,4/21/22 19:09
User 4,AE,Device 0,0,bl,"The Blacklist: Season 1: ""Pilot""",play,title_results,4/21/22 17:15
User 4,AE,Device 0,0,bl,,select,title_results,4/21/22 17:14
User 4,AE,Device 0,0,bl,"The Blacklist: Season 1: ""Pilot""",play,title_results,4/21/22 17:07
User 4,AE,Device 0,0,bl,,select,title_results,4/21/22 17:07
User 4,AE,Device 0,0,,"Better Call Saul: Season 1: ""Nacho""",play,prequery_results,4/20/22 17:33
User 4,AE,Device 0,0,,,select,prequery_results,4/20/22 17:33
User 4,AE,Device 0,0,fleab,,select,title_results,4/16/22 14:43
User 4,AE,Device 0,0,fleab,Ex Machina,select,title_results,4/16/22 14:43
User 4,AE,Device 0,0,fleab,The Ninth Gate,select,title_results,4/16/22 14:43
User 4,AE,Device 0,0,olym,Angel Has Fallen,select,title_results,4/15/22 11:56
User 4,AE,Device 0,0,linc,The Net,select,title_results,4/15/22 11:55
User 4,AE,Device 0,0,linc,,select,title_results,4/15/22 11:55
User 4,AE,Device 0,0,,"The Indian Detective: Season 1: ""Episode 4""",play,prequery_results,4/15/22 11:52
User 4,AE,Device 0,0,,,select,prequery_results,4/15/22 11:52
User 4,AE,Device 0,0,linc,The Ninth Gate,select,title_results,4/14/22 13:32
User 4,AE,Device 0,0,linc,,select,title_results,4/14/22 13:32
User 4,AE,Device 0,0,linc,The Dark Tower,select,title_results,4/14/22 11:54
User 4,AE,Device 0,0,linc,Fracture,select,title_results,4/14/22 11:54
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 6: ""Sicko""",play,prequery_results,4/12/22 22:02
User 4,AE,Device 0,0,,,select,prequery_results,4/12/22 22:02
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 6: ""Return of the King""",play,prequery_results,4/12/22 15:11
User 4,AE,Device 0,0,,,select,prequery_results,4/12/22 15:11
User 4,CA,Device 0,0,,"Brooklyn Nine-Nine: Season 6: ""Return of the King""",play,prequery_results,4/12/22 14:45
User 4,CA,Device 0,0,,,select,prequery_results,4/12/22 14:45
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 6: ""Ticking Clocks""",play,prequery_results,4/12/22 14:12
User 4,AE,Device 0,0,,,select,prequery_results,4/12/22 14:12
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5: ""Jake & Amy""",play,prequery_results,4/11/22 18:37
User 4,AE,Device 0,0,,,select,prequery_results,4/11/22 18:37
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5: ""White Whale""",play,prequery_results,4/11/22 17:50
User 4,AE,Device 0,0,,,select,prequery_results,4/11/22 17:50
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5: ""Show Me Going""",play,prequery_results,4/11/22 17:31
User 4,AE,Device 0,0,,,select,prequery_results,4/11/22 17:31
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5: ""The Puzzle Master""",play,prequery_results,4/11/22 15:40
User 4,AE,Device 0,0,,,select,prequery_results,4/11/22 15:40
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5: ""The Big House, Pt. 1""",play,prequery_results,4/10/22 18:45
User 4,AE,Device 0,0,,,select,prequery_results,4/10/22 18:45
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 5: ""The Big House, Pt. 1""",play,prequery_results,4/10/22 18:26
User 4,AE,Device 0,0,,,select,prequery_results,4/10/22 18:26
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 4: ""Cop-Con""",play,prequery_results,4/10/22 15:11
User 4,AE,Device 0,0,,,select,prequery_results,4/10/22 15:11
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 4: ""Skyfire Cycle""",play,prequery_results,4/10/22 10:44
User 4,AE,Device 0,0,,,select,prequery_results,4/10/22 10:44
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 4: ""Mr. Santiago""",play,prequery_results,4/10/22 10:23
User 4,AE,Device 0,0,,,select,prequery_results,4/10/22 10:23
User 4,AE,Device 0,0,,,select,prequery_results,4/10/22 10:23
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 3: ""Paranoia""",play,prequery_results,4/9/22 18:28
User 4,AE,Device 0,0,,,select,prequery_results,4/9/22 18:28
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 3: ""Adrian Pimento""",play,prequery_results,4/9/22 17:25
User 4,AE,Device 0,0,,,select,prequery_results,4/9/22 17:25
User 4,AE,Device 0,0,,Etharkkum Thunindhavan,play,prequery_results,4/7/22 19:10
User 4,AE,Device 0,0,eth,Etharkkum Thunindhavan,play,title_results,4/7/22 15:43
User 4,AE,Device 0,0,eth,Etharkkum Thunindhavan,select,title_results,4/7/22 15:43
User 4,AE,Device 0,0,br,"Brooklyn Nine-Nine: Season 2: ""The Jimmy Jab Games""",play,title_results,4/7/22 14:03
User 4,AE,Device 0,0,br,,select,title_results,4/7/22 14:03
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 2: ""Undercover""",play,prequery_results,4/7/22 2:55
User 4,AE,Device 0,0,,,select,prequery_results,4/7/22 2:54
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 1: ""Charges and Specs""",play,prequery_results,4/6/22 23:09
User 4,AE,Device 0,0,,,select,prequery_results,4/6/22 23:09
User 4,AE,Device 0,0,dasv,Dasvi,select,title_results,4/6/22 23:09
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 1: ""The Apartment""",play,prequery_results,4/6/22 18:56
User 4,AE,Device 0,0,,,select,prequery_results,4/6/22 18:56
User 4,AE,Device 0,0,,,select,prequery_results,4/6/22 16:23
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 1: ""Thanksgiving""",play,prequery_results,4/6/22 15:23
User 4,AE,Device 0,0,,,select,prequery_results,4/6/22 15:23
User 4,AE,Device 0,0,,"Brooklyn Nine-Nine: Season 1: ""Thanksgiving""",play,prequery_results,4/6/22 13:19
User 4,AE,Device 0,0,,,select,prequery_results,4/6/22 13:19
User 4,FR,Device 0,0,,,select,prequery_results,4/6/22 13:18
User 4,AE,Device 0,0,,"Space Force: Season 2: ""THE EUROPA PROJECT""",play,prequery_results,4/5/22 17:48
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 17:48
User 4,CA,Device 0,0,,,select,prequery_results,4/5/22 17:48
User 4,AE,Device 0,0,,"Space Force: Season 2: ""BUDGET CUTS""",play,prequery_results,4/5/22 17:09
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 17:09
User 4,AE,Device 0,0,,"Space Force: Season 2: ""BUDGET CUTS""",play,prequery_results,4/5/22 17:06
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 17:06
User 4,AE,Device 0,0,,"Space Force: Season 2: ""THE INQUIRY""",play,prequery_results,4/5/22 16:25
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 16:25
User 4,AE,Device 0,0,dasv,Dasvi,select,title_results,4/5/22 11:55
User 4,AE,Device 0,0,,"Space Force: Season 1: ""THE SPY""",play,prequery_results,4/5/22 4:54
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 4:54
User 4,AE,Device 0,0,dasvi,Dasvi,select,title_results,4/5/22 4:54
User 4,AE,Device 0,0,dasvi,Dasvi,select,title_results,4/5/22 4:54
User 4,AE,Device 0,0,,"Space Force: Season 1: ""THE SPY""",play,prequery_results,4/5/22 4:48
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 4:48
User 4,AE,Device 0,0,,"Space Force: Season 1: ""SPACE FLAG""",play,prequery_results,4/5/22 3:58
User 4,AE,Device 0,0,,,select,prequery_results,4/5/22 3:58
User 4,AE,Device 0,0,,"Travelers: Season 2: ""Traveler 0027""",play,prequery_results,4/4/22 13:52
User 4,AE,Device 0,0,,,select,prequery_results,4/4/22 13:52
User 4,AE,Device 0,0,,"iZombie: Season 5: ""All's Well That Ends Well""",play,prequery_results,3/28/22 20:08
User 4,AE,Device 0,0,,,select,prequery_results,3/28/22 20:08
User 4,AE,Device 0,0,,,play,prequery_results,3/28/22 19:31
User 4,AE,Device 0,0,,,select,prequery_results,3/28/22 19:31
User 4,AE,Device 0,0,,"iZombie: Season 5: ""Killer Queen""",play,prequery_results,3/28/22 18:38
