profile name,subscription type,monthly revenue,join date,last payment date,country_x,age,gender,device,plan duration,start time,duration,attributes,title,supplemental video type,device type_x,bookmark,latest bookmark,country_y,esn,device type_y,acct first playback date,acct last playback date,acct first playback date for user generated plays,acct last playback date for user generated plays,profile first playback date,profile last playback date,profile first playback date for user generated plays,profile last playback date for user generated plays,deactivation time,listed_in,days since last payment,churn,primary_genre
1804,Standard,12,21-08-22,2023-09-07 00:00:00.000000,Spain,40,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
265,Basic,11,05-08-22,2023-06-25 00:00:00.000000,Germany,32,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,563,1,
1133,Basic,12,04-11-22,2023-03-07 00:00:00.000000,United States,42,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
2186,Basic,15,27-10-22,2023-11-07 00:00:00.000000,United States,38,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
1553,Standard,12,03-11-22,2023-06-07 00:00:00.000000,United States,39,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
2127,Basic,15,12-08-22,2023-09-07 00:00:00.000000,Canada,46,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1475,Basic,13,27-10-22,2023-06-07 00:00:00.000000,Italy,47,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
448,Standard,14,12-08-22,2023-06-27 00:00:00.000000,Mexico,48,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
1829,Premium,13,06-11-22,2023-08-07 00:00:00.000000,Australia,36,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
843,Standard,13,04-10-22,2023-01-07 00:00:00.000000,Mexico,39,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
2038,Standard,11,07-11-22,2023-10-07 00:00:00.000000,United Kingdom,37,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
1353,Standard,13,13-08-22,2023-02-07 00:00:00.000000,Mexico,29,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
2483,Basic,15,28-07-22,2023-11-07 00:00:00.000000,United States,42,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
2315,Basic,12,07-11-22,2023-10-07 00:00:00.000000,Italy,35,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
1219,Premium,12,06-07-22,2023-04-07 00:00:00.000000,Spain,48,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,642,1,
1886,Basic,12,11-10-22,2023-08-07 00:00:00.000000,United States,38,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
131,Premium,15,06-10-22,2023-06-23 00:00:00.000000,United States,47,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,565,1,
1850,Basic,12,28-07-22,2023-08-07 00:00:00.000000,Italy,30,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
1807,Standard,11,08-09-22,2023-07-07 00:00:00.000000,Spain,37,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
475,Basic,11,13-08-22,2023-06-26 00:00:00.000000,Germany,31,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,562,1,
1739,Basic,10,16-09-22,2023-05-07 00:00:00.000000,Australia,35,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
1307,Basic,10,06-07-22,2023-03-07 00:00:00.000000,Brazil,34,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
935,Basic,10,07-08-22,2023-02-07 00:00:00.000000,Italy,44,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
395,Basic,12,05-06-22,2023-06-26 00:00:00.000000,Germany,45,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,562,1,
2041,Premium,10,09-11-22,2023-07-07 00:00:00.000000,France,34,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
970,Basic,15,03-09-22,2023-03-07 00:00:00.000000,United States,44,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
456,Premium,14,04-06-22,2023-06-27 00:00:00.000000,France,41,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
2279,Premium,10,14-07-22,2023-10-07 00:00:00.000000,Australia,40,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
83,Basic,10,20-10-22,2023-06-26 00:00:00.000000,United Kingdom,46,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,562,1,
1061,Basic,15,09-11-22,2023-01-07 00:00:00.000000,United States,30,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
1845,Basic,12,16-08-22,2023-07-07 00:00:00.000000,Germany,32,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
1948,Standard,11,16-09-22,2023-09-07 00:00:00.000000,United Kingdom,39,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
2121,Premium,14,25-09-22,2023-09-07 00:00:00.000000,Spain,39,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1830,Basic,12,07-11-22,2023-08-07 00:00:00.000000,Germany,27,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
2252,Premium,12,11-11-22,2023-11-07 00:00:00.000000,Brazil,31,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
595,Basic,10,11-06-22,2023-06-28 00:00:00.000000,United States,49,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
346,Premium,15,31-08-22,2023-06-26 00:00:00.000000,France,37,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,562,1,
2069,Standard,12,11-07-22,2023-08-07 00:00:00.000000,Australia,35,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
1949,Premium,15,17-09-22,2023-09-07 00:00:00.000000,Australia,39,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
2168,Standard,14,20-10-22,2023-10-07 00:00:00.000000,United States,27,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
263,Standard,15,25-07-22,2023-06-24 00:00:00.000000,United Kingdom,46,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,564,1,
365,Basic,11,13-10-22,2023-06-27 00:00:00.000000,Germany,36,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
2361,Premium,14,16-08-22,2023-07-13 00:00:00.000000,Spain,34,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,545,1,
2298,Standard,12,18-09-22,2023-10-07 00:00:00.000000,Mexico,32,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
806,Premium,15,01-07-22,2023-06-30 00:00:00.000000,United States,30,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
1541,Premium,15,17-10-22,2023-07-07 00:00:00.000000,United States,33,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
1869,Premium,13,11-08-22,2023-08-07 00:00:00.000000,Canada,48,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
2416,Premium,14,19-07-22,2023-07-13 00:00:00.000000,France,44,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,545,1,
1141,Premium,12,22-08-22,2023-03-07 00:00:00.000000,France,48,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
1228,Standard,15,26-06-22,2023-03-07 00:00:00.000000,United Kingdom,38,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
539,Basic,12,02-07-22,2023-06-29 00:00:00.000000,Australia,30,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
1708,Standard,13,25-07-22,2023-07-07 00:00:00.000000,United Kingdom,35,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
296,Basic,12,01-10-22,2023-06-27 00:00:00.000000,France,48,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
1094,Standard,10,22-06-22,2023-02-07 00:00:00.000000,Australia,45,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
768,Standard,10,08-10-22,2023-02-07 00:00:00.000000,Mexico,38,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
316,Premium,12,27-05-22,2023-06-25 00:00:00.000000,France,50,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,563,1,
758,Basic,12,04-09-22,2023-06-29 00:00:00.000000,United States,47,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
682,Standard,11,23-07-22,2023-06-27 00:00:00.000000,Spain,42,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
954,Standard,13,17-06-22,2023-06-30 00:00:00.000000,Canada,38,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
1767,Basic,15,04-10-22,2023-07-07 00:00:00.000000,Canada,30,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
1288,Standard,11,12-07-22,2023-03-07 00:00:00.000000,United Kingdom,39,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
2240,Basic,12,25-10-22,2023-11-07 00:00:00.000000,Italy,51,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
939,Premium,10,14-07-22,2023-02-07 00:00:00.000000,Canada,29,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
474,Standard,14,30-07-22,2023-06-28 00:00:00.000000,Australia,38,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
1372,Basic,12,25-06-22,2023-05-07 00:00:00.000000,Spain,40,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
1204,Standard,13,30-10-22,2023-05-07 00:00:00.000000,Spain,42,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
432,Basic,12,19-11-22,2023-06-30 00:00:00.000000,Canada,46,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
2014,Standard,12,29-08-22,2023-10-07 00:00:00.000000,Spain,39,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
2286,Premium,15,22-07-22,2023-12-07 00:00:00.000000,Spain,41,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
1281,Premium,13,25-08-22,2023-04-07 00:00:00.000000,Spain,41,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,642,1,
1376,Premium,14,03-07-22,2023-05-07 00:00:00.000000,United States,29,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
617,Basic,11,05-09-22,2023-06-28 00:00:00.000000,Brazil,45,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
491,Premium,12,07-10-22,2023-06-28 00:00:00.000000,United States,28,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
1932,Basic,11,09-07-22,2023-11-07 00:00:00.000000,Canada,41,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
579,Standard,12,16-10-22,2023-06-28 00:00:00.000000,Canada,35,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
1102,Basic,15,27-07-22,2023-03-07 00:00:00.000000,Spain,32,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
1488,Standard,10,25-09-22,2023-05-07 00:00:00.000000,Mexico,51,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
454,Standard,15,28-05-22,2023-06-28 00:00:00.000000,Australia,51,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
2371,Premium,15,03-10-22,2023-10-07 00:00:00.000000,France,29,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
2348,Standard,10,16-07-22,2023-12-07 00:00:00.000000,United States,48,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
920,Basic,14,09-11-22,2023-01-07 00:00:00.000000,Italy,34,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
662,Basic,15,15-06-22,2023-06-29 00:00:00.000000,Brazil,49,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
987,Premium,11,30-10-22,2023-01-07 00:00:00.000000,Canada,32,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
1527,Basic,15,05-09-22,2023-05-07 00:00:00.000000,Canada,32,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,612,1,
2469,Premium,12,24-10-22,2023-11-07 00:00:00.000000,Canada,36,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
2384,Premium,14,07-11-22,2023-12-07 00:00:00.000000,Australia,30,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
2131,Premium,11,28-07-22,2023-09-07 00:00:00.000000,France,35,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1928,Standard,10,07-07-22,2023-11-07 00:00:00.000000,United States,44,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
1639,Standard,15,22-07-22,2023-06-07 00:00:00.000000,Spain,47,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
376,Basic,12,20-06-22,2023-06-27 00:00:00.000000,France,39,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
2090,Basic,12,20-09-22,2023-12-07 00:00:00.000000,Italy,31,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
1068,Standard,15,21-10-22,2023-04-07 00:00:00.000000,Mexico,34,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,642,1,
1963,Standard,15,27-10-22,2023-07-07 00:00:00.000000,United Kingdom,31,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
664,Standard,11,12-06-22,2023-06-30 00:00:00.000000,Spain,31,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
810,Basic,13,09-06-22,2023-06-29 00:00:00.000000,Germany,38,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
1570,Basic,13,17-07-22,2023-06-07 00:00:00.000000,United States,44,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
288,Standard,14,20-10-22,2023-06-28 00:00:00.000000,Mexico,51,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
143,Standard,14,31-08-22,2023-06-24 00:00:00.000000,United Kingdom,30,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,564,1,
2128,Standard,10,10-08-22,2023-11-07 00:00:00.000000,United Kingdom,28,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
1175,Basic,12,23-08-22,2023-02-07 00:00:00.000000,Italy,41,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
764,Basic,15,18-09-22,2023-03-07 00:00:00.000000,Australia,28,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
1470,Basic,10,15-10-22,2023-06-07 00:00:00.000000,Germany,27,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
377,Premium,12,27-08-22,2023-06-28 00:00:00.000000,Brazil,37,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,560,1,
160,Premium,15,27-10-22,2023-06-25 00:00:00.000000,Italy,39,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,563,1,
692,Basic,15,31-08-22,2023-06-30 00:00:00.000000,Brazil,36,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
2102,Premium,14,27-10-22,2023-09-07 00:00:00.000000,Brazil,48,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
726,Premium,14,02-08-22,2023-06-30 00:00:00.000000,Spain,50,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
2062,Basic,14,28-07-22,2023-10-07 00:00:00.000000,Spain,46,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,459,1,
831,Premium,10,02-09-22,2023-06-29 00:00:00.000000,Spain,35,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
1028,Standard,12,04-07-22,2023-01-07 00:00:00.000000,United States,47,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,732,1,
129,Standard,13,05-11-22,2023-06-23 00:00:00.000000,Spain,38,Male,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,565,1,
1444,Premium,13,29-06-22,2023-07-07 00:00:00.000000,Spain,49,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
2448,Standard,13,24-10-22,2023-12-07 00:00:00.000000,Mexico,43,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
1819,Premium,13,19-10-22,2023-07-07 00:00:00.000000,Spain,48,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
2167,Basic,11,18-10-22,2023-11-07 00:00:00.000000,Spain,33,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,428,1,
1550,Basic,11,04-11-22,2023-07-07 00:00:00.000000,Italy,49,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
264,Premium,10,09-08-22,2023-06-27 00:00:00.000000,Australia,51,Male,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,561,1,
2215,Basic,13,18-07-22,2023-09-07 00:00:00.000000,United States,42,Female,Smartphone,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1392,Basic,13,25-09-22,2023-06-07 00:00:00.000000,Canada,41,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
844,Premium,10,14-10-22,2023-02-07 00:00:00.000000,Spain,47,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,701,1,
2436,Premium,14,16-09-22,2023-07-13 00:00:00.000000,Spain,44,Female,Smart TV,1.0,,,,,,,,,,,,,,,,,,,,,,545,1,
2303,Standard,14,09-10-22,2023-12-07 00:00:00.000000,United States,43,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,398,1,
515,Basic,15,01-07-22,2023-06-29 00:00:00.000000,Italy,44,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,559,1,
1650,Basic,14,28-06-22,2023-08-07 00:00:00.000000,Germany,32,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,520,1,
965,Basic,10,14-08-22,2023-06-30 00:00:00.000000,Italy,46,Male,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,558,1,
1676,Premium,15,09-10-22,2023-07-07 00:00:00.000000,United States,35,Female,Laptop,1.0,,,,,,,,,,,,,,,,,,,,,,551,1,
1087,Basic,11,26-06-22,2023-03-07 00:00:00.000000,Spain,51,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,673,1,
2075,Basic,14,15-07-22,2023-09-07 00:00:00.000000,Italy,47,Female,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,489,1,
1592,Basic,10,14-08-22,2023-06-07 00:00:00.000000,Brazil,34,Male,Tablet,1.0,,,,,,,,,,,,,,,,,,,,,,581,1,
